"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"11","Cladonia cristatella","2016-01-28 14:13:53 -0400","","Albert, New Brunswick, Canada",45.601386,-64.987767,NA,"British soldier lichen","http://inaturalist.ca/observations/2628306","https://static.inaturalist.org/photos/2944269/medium.JPG?1454102049","evan_houlahan",2628306,"cladonie soldats-britanniques","Fungi",119669,"true",4,0,"2016-01-28 14:13:53","2016-01-28","2016-01-28 18:13:53 UTC","Atlantic Time (Canada)",1,"","",NA,"false",NA,NA,NA,169067,"2016-01-29 21:13:40 UTC","2016-12-19 20:17:40 UTC","research","CC-BY-NC",NA,NA,"false"
"12","Usnea","2016-01-22 15:35:48 -0400","","Albert, NB, CA",45.600235,-64.95129,NA,"beard lichens","http://inaturalist.ca/observations/2619272","https://static.inaturalist.org/photos/2931019/medium.JPG?1453821384","evan_houlahan",2619272,"Usnea","Fungi",67747,"true",2,0,"2016-01-22 15:35:48","2016-01-22","2016-01-22 19:35:48 UTC","Atlantic Time (Canada)",23,"","",NA,"false",NA,NA,NA,169067,"2016-01-26 15:15:59 UTC","2017-11-19 16:28:11 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"13","Polyporales","2016-01-23 00:00:00 -0500","On birch tree. "," Wild Bird Care Centre",45.297865,-75.821892,NA,"shelf fungi","http://inaturalist.ca/observations/2610459","https://static.inaturalist.org/photos/2917901/medium.JPG?1453581475","swampy",2610459,"shelf fungi","Fungi",47380,"false",2,0,"2016-01-23","2016-01-23","","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,109854,"2016-01-23 20:37:50 UTC","2017-08-03 23:04:22 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"14","Inonotus obliquus","2016-01-19 15:12:48 -0400","","fundy national park",45.601518,-64.952792,NA,"Chaga Mushroom","http://inaturalist.ca/observations/2599468","https://static.inaturalist.org/photos/2902446/medium.JPG?1453231101","evan_houlahan",2599468,"Inonotus obliquus","Fungi",127021,"false",4,0,"2016-01-19 15:12:48","2016-01-19","2016-01-19 19:12:48 UTC","Atlantic Time (Canada)",500,"","",NA,"false",NA,NA,NA,169067,"2016-01-19 19:17:08 UTC","2018-05-03 16:26:26 UTC","research","CC-BY-NC",NA,NA,"false"
"15","Sirococcus clavigignenti-juglandacearum","2016-01-17 00:00:00 -0500","Core of branch black.  On a native butternut tree.  ","Ontario, CA",45.5083622945,-75.760641189,NA,"butternut canker","http://inaturalist.ca/observations/2589162","https://static.inaturalist.org/photos/2893550/medium.JPG?1453059952","swampy",2589162,"Butternut canker","Fungi",122286,"false",1,0,"2016-01-17","2016-01-17","","Eastern Time (US & Canada)",NA," Macoun Marsh, Ottawa","obscured",NA,"true",NA,NA,NA,109854,"2016-01-17 19:42:58 UTC","2018-10-12 16:06:09 UTC","research","CC-BY-NC",NA,NA,"false"
"16","Apiosporina morbosa","2016-01-15 00:00:00 -0500",""," Macoun Marsh, Ottawa",45.446204,-75.651837,NA,"black knot","http://inaturalist.ca/observations/2583886","https://static.inaturalist.org/photos/2885575/medium.JPG?1452890439","swampy",2583886,"Apiosporina morbosa","Fungi",58700,"false",3,0,"2016-01-15","2016-01-15","","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,109854,"2016-01-15 20:36:24 UTC","2018-05-03 16:21:59 UTC","research","CC-BY-NC",NA,NA,"false"
"17","Fungi","2016-01-12 00:00:00 -0500","Fungal spore/ From Monday's water sample"," Macoun Marsh, Ottawa",45.445861,-75.652149,NA,"Fungi Including Lichens","http://inaturalist.ca/observations/2575967","https://static.inaturalist.org/photos/2876227/medium.JPG?1452633825","swampy",2575967,"Fungi","Fungi",47170,"false",1,0,"2016-01-12","2016-01-12","","Eastern Time (US & Canada)",5,"","",NA,"false",NA,NA,NA,109854,"2016-01-12 21:19:39 UTC","2016-01-12 21:34:14 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"18","Agaricomycetes","2016-01-08 00:00:00 -0500",""," Macoun Marsh, Ottawa",45.445858,-75.651665,NA,"agaricomycetes","http://inaturalist.ca/observations/2565173","https://static.inaturalist.org/photos/2858854/medium.JPG?1452286206","swampy",2565173,"agaricomycetes","Fungi",50814,"false",3,0,"2016-01-08","2016-01-08","","Eastern Time (US & Canada)",11,"","",NA,"false",NA,NA,NA,109854,"2016-01-08 20:49:52 UTC","2018-12-12 07:38:30 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"19","Apiosporina morbosa","2016-01-03 00:00:00 -0500","","Macoun Marsh Trail",45.445821,-75.651794,NA,"black knot","http://www.inaturalist.org/observations/2549707","","bluebeetle",2549707,"Apiosporina morbosa","Fungi",58700,"false",0,0,"2016-01-03","2016-01-03","","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,162720,"2016-01-03 22:01:12 UTC","2018-10-31 07:57:16 UTC","casual","CC-BY-NC",NA,NA,"false"
"20","Apiosporina morbosa","2016-01-01 00:00:00 -0500","","Macoun Marsh, Ottawa",45.446133,-75.651864,NA,"black knot","http://inaturalist.ca/observations/2533664","https://static.inaturalist.org/photos/2833069/medium.JPG?1451673113","swampy",2533664,"Apiosporina morbosa","Fungi",58700,"false",4,0,"2016-01-01","2016-01-01","","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,109854,"2016-01-01 18:28:24 UTC","2018-05-03 16:22:01 UTC","research","CC-BY-NC",NA,NA,"false"
