"","Geo_Code","birds","fungi","insects","mammals","plants","sum"
"1",2401,4.34782608695652,2.17391304347826,15.2173913043478,2.17391304347826,76.0869565217391,46
"2",2402,2.49376558603491,0.0831255195344971,95.3449709060682,0.249376558603491,1.82876142975894,1203
"3",2403,17.0068027210884,4.08163265306122,10.2040816326531,14.9659863945578,53.7414965986395,147
"4",2404,10.6666666666667,1.33333333333333,16,18.6666666666667,53.3333333333333,75
"5",2405,22.2222222222222,2.77777777777778,61.1111111111111,8.33333333333333,5.55555555555556,36
"6",2406,7.40740740740741,7.40740740740741,22.2222222222222,3.7037037037037,59.2592592592593,27
"7",2407,13.3333333333333,6.66666666666667,53.3333333333333,6.66666666666667,20,15
"8",2408,1.5625,1.5625,67.1875,1.5625,28.125,64
"9",2409,0.43010752688172,0.10752688172043,94.5161290322581,0.10752688172043,4.83870967741935,930
"10",2410,3.49907918968692,0.184162062615101,79.0055248618785,1.47329650092081,15.8379373848987,543
"11",2411,18.75,6.25,6.25,6.25,62.5,16
"12",2412,28.8461538461538,1.92307692307692,5.76923076923077,9.61538461538462,53.8461538461538,52
"13",2413,4.93827160493827,1.23456790123457,28.3950617283951,1.23456790123457,64.1975308641975,81
"14",2414,37.3333333333333,0.666666666666667,21.3333333333333,5.33333333333333,35.3333333333333,150
"15",2415,14.1176470588235,1.17647058823529,29.4117647058824,27.0588235294118,28.2352941176471,85
"16",2416,12.0689655172414,0.574712643678161,8.04597701149425,6.32183908045977,72.9885057471264,174
"17",2417,14.9253731343284,1.49253731343284,26.865671641791,10.4477611940298,46.2686567164179,67
"18",2418,4.54545454545455,4.54545454545455,9.09090909090909,4.54545454545455,77.2727272727273,22
"19",2419,23.4042553191489,2.12765957446809,12.7659574468085,2.12765957446809,59.5744680851064,47
"20",2420,28.8135593220339,0.847457627118644,27.1186440677966,0.847457627118644,42.3728813559322,118
"21",2421,27.0655270655271,0.284900284900285,16.2393162393162,7.12250712250712,49.2877492877493,351
"22",2422,7.47126436781609,0.191570881226054,68.3908045977011,5.93869731800766,18.007662835249,522
"23",2423,19.9229691876751,0.280112044817927,47.1288515406162,3.50140056022409,29.1666666666667,2856
"24",2425,7.03125,0.390625,44.53125,4.6875,43.359375,256
"25",2426,62.5,2.5,17.5,2.5,15,40
"26",2427,42.8571428571429,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,7
"27",2428,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,33.3333333333333,6
"28",2429,7.14285714285714,7.14285714285714,14.2857142857143,7.14285714285714,64.2857142857143,14
"29",2430,2.02991452991453,2.35042735042735,25.3205128205128,3.95299145299145,66.3461538461538,936
"30",2431,7.83410138248848,0.460829493087558,12.9032258064516,2.30414746543779,76.4976958525346,217
"31",2432,21.875,1.5625,51.5625,1.5625,23.4375,64
"32",2433,17.0886075949367,0.632911392405063,45.5696202531646,3.16455696202532,33.5443037974684,158
"33",2434,32.4324324324324,0.675675675675676,25.6756756756757,0.675675675675676,40.5405405405405,148
"34",2435,6.66666666666667,3.33333333333333,20,3.33333333333333,66.6666666666667,30
"35",2436,12.962962962963,1.85185185185185,28.7037037037037,9.25925925925926,47.2222222222222,108
"36",2437,19.7530864197531,2.46913580246914,13.5802469135802,8.64197530864197,55.5555555555556,81
"37",2438,6.89655172413793,3.44827586206897,24.1379310344828,6.89655172413793,58.6206896551724,29
"38",2439,7.14285714285714,1.02040816326531,60.2040816326531,6.12244897959184,25.5102040816327,98
"39",2440,1.51515151515152,1.51515151515152,21.2121212121212,1.51515151515152,74.2424242424242,66
"40",2441,3.00429184549356,0.286123032904149,33.1902718168813,4.00572246065808,59.5135908440629,699
"41",2442,4.28571428571429,1.42857142857143,21.4285714285714,12.8571428571429,60,70
"42",2443,5.42986425339367,3.61990950226244,30.7692307692308,3.61990950226244,56.5610859728507,221
"43",2444,7.2289156626506,2.40963855421687,14.4578313253012,4.81927710843374,71.0843373493976,83
