"","Geo_Code","Prov_Name","CD_Name","Geo_Type","GNR","Average_income","Median_income","Total_income"
"73","2474","Quebec","Mirabel","Territoire équivalent",12.5,37961,33448,32115
"74","2475","Quebec","La Rivière-du-Nord","Municipalité régionale de comté",18.1,33328,27550,94060
"75","2476","Quebec","Argenteuil","Municipalité régionale de comté",29.8,30737,23809,26800
"76","2477","Quebec","Les Pays-d'en-Haut","Municipalité régionale de comté",30.1,40113,29559,35105
"77","2478","Quebec","Les Laurentides","Municipalité régionale de comté",38.7,32099,24760,38010
"78","2479","Quebec","Antoine-Labelle","Municipalité régionale de comté",34.9,27953,22423,29555
"79","2480","Quebec","Papineau","Municipalité régionale de comté",31.3,30909,24208,19190
"80","2481","Quebec","Gatineau","Territoire équivalent",23,41649,35647,215685
"81","2482","Quebec","Les Collines-de-l'Outaouais","Municipalité régionale de comté",30.4,45409,39471,37100
"82","2483","Quebec","La Vallée-de-la-Gatineau","Municipalité régionale de comté",42.3,28854,22654,17420
"83","2484","Quebec","Pontiac","Municipalité régionale de comté",47.4,28444,23090,11940
"84","2485","Quebec","Témiscamingue","Municipalité régionale de comté",38.1,33569,25811,13310
"85","2486","Quebec","Rouyn-Noranda","Territoire équivalent",30.3,39099,30115,33370
"86","2487","Quebec","Abitibi-Ouest","Municipalité régionale de comté",33.1,33128,25699,17075
"87","2488","Quebec","Abitibi","Municipalité régionale de comté",33.6,35047,29936,19575
"88","2489","Quebec","La Vallée-de-l'Or","Municipalité régionale de comté",32.7,37338,29051,34495
"89","2490","Quebec","La Tuque","Territoire équivalent",25.6,29451,22831,12225
"90","2491","Quebec","Le Domaine-du-Roy","Municipalité régionale de comté",29.9,31434,25446,25980
"91","2492","Quebec","Maria-Chapdelaine","Municipalité régionale de comté",16.8,30739,25134,20510
"92","2493","Quebec","Lac-Saint-Jean-Est","Municipalité régionale de comté",22.8,32992,27312,42950
"93","2494","Quebec","Le Saguenay-et-son-Fjord","Census division",21,35309,27903,137905
"94","2495","Quebec","La Haute-Côte-Nord","Municipalité régionale de comté",25.6,29756,24354,9640
"95","2496","Quebec","Manicouagan","Municipalité régionale de comté",19.8,38201,30414,26430
"96","2497","Quebec","Sept-Rivières--Caniapiscau","Census division",29.4,42716,32920,31645
"97","2498","Quebec","Minganie--Le Golfe-du-Saint-Laurent","Census division",49.6,35409,29442,9460
"98","2499","Quebec","Nord-du-Québec","Census division",22.9,35575,27649,30200
