"","Geo_Code","obs_totalpop","mean_obs_per_observer","observer_totalpop","taxa","totalpop_rank","totalpop_rank2","totalpop_rank3","Rank"
"431",2444,0.000107845780533837,2,5.39228902669183e-05,"fungi",19,20,27,66
"261",2427,5.3248136315229e-05,1,5.3248136315229e-05,"fungi",39,47,28,114
"371",2438,5.12557662737058e-05,1,5.12557662737058e-05,"fungi",41,48,29,118
"761",2477,0.000150943396226415,3,5.0314465408805e-05,"fungi",14,16,30,60
"131",2413,5.02008032128514e-05,1,5.02008032128514e-05,"fungi",42,49,31,122
"141",2414,4.88400488400488e-05,1,4.88400488400488e-05,"fungi",43,50,32,125
"861",2487,4.8661800486618e-05,1,4.8661800486618e-05,"fungi",44,51,33,128
"810",2408,4.69043151969981e-05,1,4.69043151969981e-05,"fungi",45,52,34,131
"291",2430,0.0010187543412827,22,4.63070155128502e-05,"fungi",3,2,35,40
"401",2441,9.23147934456497e-05,2,4.61573967228248e-05,"fungi",20,21,36,77
"791",2480,0.00081799591002045,18,4.54442172233583e-05,"fungi",4,4,37,45
"491",2450,4.5382346267302e-05,1,4.5382346267302e-05,"fungi",46,53,38,137
"181",2418,4.49236298292902e-05,1,4.49236298292902e-05,"fungi",47,54,39,140
"311",2432,4.40528634361234e-05,1,4.40528634361234e-05,"fungi",48,55,40,143
"871",2488,4.20786871449611e-05,1,4.20786871449611e-05,"fungi",49,56,41,146
"911",2492,0.000163934426229508,4,4.0983606557377e-05,"fungi",11,10,42,63
"211",2421,3.92079984316801e-05,1,3.92079984316801e-05,"fungi",52,57,43,152
"671",2468,3.90548720952939e-05,1,3.90548720952939e-05,"fungi",53,58,44,155
"451",2446,0.000147194112235511,4,3.67985280588776e-05,"fungi",15,11,45,71
"321",2433,3.45602211854156e-05,1,3.45602211854156e-05,"fungi",54,59,46,159
"411",2442,3.44411916652316e-05,1,3.44411916652316e-05,"fungi",55,60,47,162
"901",2491,3.23206205559147e-05,1,3.23206205559147e-05,"fungi",56,61,48,165
"951",2496,3.19539862597859e-05,1,3.19539862597859e-05,"fungi",57,62,49,168
"751",2476,0.00382043935052531,120,3.18369945877109e-05,"fungi",1,1,50,52
"121",2412,3.05576776165011e-05,1,3.05576776165011e-05,"fungi",58,63,51,172
"781",2479,2.93169158604515e-05,1,2.93169158604515e-05,"fungi",59,64,52,175
"191",2419,2.92098729370527e-05,1,2.92098729370527e-05,"fungi",60,65,53,178
"251",2426,2.89561314608368e-05,1,2.89561314608368e-05,"fungi",61,66,54,181
"541",2455,2.88350634371396e-05,1,2.88350634371396e-05,"fungi",62,67,55,184
"501",2451,2.82485875706215e-05,1,2.82485875706215e-05,"fungi",63,68,56,187
"221",2422,2.73336066694e-05,1,2.73336066694e-05,"fungi",64,69,57,190
"961",2497,2.56508913684751e-05,1,2.56508913684751e-05,"fungi",65,70,58,193
"851",2486,2.50093785169439e-05,1,2.50093785169439e-05,"fungi",66,71,59,196
"511",2452,2.44678248103744e-05,1,2.44678248103744e-05,"fungi",67,72,60,199
"301",2431,2.40471323794638e-05,1,2.40471323794638e-05,"fungi",68,73,61,202
"731",2474,0.000192307692307692,8,2.40384615384615e-05,"fungi",10,6,62,78
"881",2489,2.37783854476281e-05,1,2.37783854476281e-05,"fungi",69,74,63,206
"981",2499,0.000518990327907525,22,2.35904694503421e-05,"fungi",5,3,64,72
"801",2481,0.000160507509458478,7,2.2929644208354e-05,"fungi",12,7,65,84
"441",2445,2.10017851517379e-05,1,2.10017851517379e-05,"fungi",70,75,66,211
"621",2463,2.09511837418814e-05,1,2.09511837418814e-05,"fungi",71,76,67,214
"351",2436,4.16363068595816e-05,2,2.08181534297908e-05,"fungi",50,22,68,140
"331",2434,2.08073241781107e-05,1,2.08073241781107e-05,"fungi",72,77,69,218
"611",2462,4.11904026361858e-05,2,2.05952013180929e-05,"fungi",51,23,70,144
"521",2453,2.01328769881216e-05,1,2.01328769881216e-05,"fungi",73,78,71,222
"281",2429,2.00380723374411e-05,1,2.00380723374411e-05,"fungi",74,79,72,225
"921",2493,1.95541650371529e-05,1,1.95541650371529e-05,"fungi",75,80,73,228
"101",2410,1.88643652141105e-05,1,1.88643652141105e-05,"fungi",76,81,74,231
"691",2470,1.65700082850041e-05,1,1.65700082850041e-05,"fungi",79,82,75,236
"601",2461,1.6214025131739e-05,1,1.6214025131739e-05,"fungi",80,83,76,239
"381",2439,1.48544266191325e-05,1,1.48544266191325e-05,"fungi",83,84,77,244
"581",2459,1.36239782016349e-05,1,1.36239782016349e-05,"fungi",85,85,78,248
"421",2443,5.3242820538418e-05,4,1.33107051346045e-05,"fungi",40,12,79,131
"531",2454,1.22159784998778e-05,1,1.22159784998778e-05,"fungi",86,86,80,252
"461",2447,1.20590895387398e-05,1,1.20590895387398e-05,"fungi",87,87,81,255
"711",2472,1.05730598435187e-05,1,1.05730598435187e-05,"fungi",88,88,82,258
"481",2449,1.04302477183833e-05,1,1.04302477183833e-05,"fungi",89,89,83,261
"551",2456,5.34640231677434e-05,6,8.91067052795723e-06,"fungi",38,8,84,130
"741",2475,1.77147918511957e-05,2,8.85739592559787e-06,"fungi",77,24,85,186
"561",2457,1.74208440398937e-05,2,8.71042201994687e-06,"fungi",78,25,86,189
"591",2460,8.42743974380583e-06,1,8.42743974380583e-06,"fungi",90,90,87,267
"231",2423,1.49060453330104e-05,2,7.45302266650518e-06,"fungi",82,26,88,196
"241",2425,7.3618728604557e-06,1,7.3618728604557e-06,"fungi",91,91,89,271
"701",2471,7.25268349289237e-06,1,7.25268349289237e-06,"fungi",92,92,90,274
"361",2437,1.38398726731714e-05,2,6.9199363365857e-06,"fungi",84,27,91,202
"631",2464,6.78035054412313e-06,1,6.78035054412313e-06,"fungi",93,93,92,278
"721",2473,6.61879074693054e-06,1,6.61879074693054e-06,"fungi",94,94,93,281
"661",2467,6.22723168415481e-06,1,6.22723168415481e-06,"fungi",95,95,94,284
"931",2494,6.18677885358988e-06,1,6.18677885358988e-06,"fungi",96,96,95,287
"641",2465,2.54631103189255e-06,1,2.54631103189255e-06,"fungi",97,97,96,290
"571",2458,1.52561119798619e-05,6,2.54268532997699e-06,"fungi",81,9,97,187
"651",2466,5.42152344808891e-07,1,5.42152344808891e-07,"fungi",98,98,98,294
"812",2482,0.0234312344207218,9.91743119266055,0.00236263140782486,"insects",3,18,1,22
"832",2484,0.011956137247966,5.28125,0.00226388397594623,"insects",6,34,2,42
"792",2480,0.00386275846398546,3.03571428571429,0.00127243808225403,"insects",15,52,3,70
"822",2483,0.0173095944609298,16.6666666666667,0.00103857566765579,"insects",4,13,4,21
"212",2421,0.00223485591060576,2.71428571428571,0.000823367967065281,"insects",23,56,5,84
"942",2495,0.0170098478066249,21.1111111111111,0.000805729632945389,"insects",5,9,6,20
"162",2416,0.00108611326609775,1.4,0.000775795190069822,"insects",37,81,7,125
"292",2430,0.0109747626765455,14.8125,0.000740912248205603,"insects",7,14,8,29
