"","Geo_Code","obs_totalpop","mean_obs_per_observer","observer_totalpop","taxa","totalpop_rank","totalpop_rank2","totalpop_rank3","Rank"
"103",2410,0.000150914921712884,1.14285714285714,0.000132050556498774,"mammals",47,62,31,140
"353",2436,0.000208181534297908,1.66666666666667,0.000124908920578745,"mammals",34,35,32,101
"803",2481,0.000206366797875186,1.74193548387097,0.000118469828409829,"mammals",35,32,33,100
"743",2475,0.000389725420726306,3.38461538461538,0.000115146147032772,"mammals",22,7,34,63
"114",2411,0.00011454753722795,1,0.00011454753722795,"mammals",54,67,35,156
"514",2405,0.000170988885722428,1.5,0.000113992590481619,"mammals",41,42,36,119
"215",2402,0.000168255748738082,1.5,0.000112170499158721,"mammals",42,43,37,122
"323",2433,0.000172801105927078,1.66666666666667,0.000103680663556247,"mammals",40,36,38,114
"373",2438,0.000102511532547412,1,0.000102511532547412,"mammals",56,68,39,163
"733",2474,0.000216346153846154,2.25,9.61538461538462e-05,"mammals",32,21,40,93
"953",2496,9.58619587793577e-05,1,9.58619587793577e-05,"mammals",57,69,41,167
"123",2412,0.000152788388082506,1.66666666666667,9.16730328495034e-05,"mammals",45,37,42,124
"703",2471,9.42848854076008e-05,1.08333333333333,8.70322019147084e-05,"mammals",58,65,43,166
"233",2423,0.00018632556666263,2.17391304347826,8.57097606648096e-05,"mammals",39,22,44,105
"463",2447,0.000265299969852276,3.14285714285714,8.44136267711788e-05,"mammals",28,8,45,81
"623",2463,0.000125707102451288,1.5,8.38047349675257e-05,"mammals",50,44,46,140
"663",2467,0.000118317401998941,1.46153846153846,8.09540118940125e-05,"mammals",53,48,47,148
"653",2466,0.000189211168338303,2.37414965986395,7.9696394686907e-05,"mammals",37,20,48,105
"115",2401,7.96812749003984e-05,1,7.96812749003984e-05,"mammals",64,70,49,183
"343",2435,7.91452314998021e-05,1,7.91452314998021e-05,"mammals",65,71,50,186
"923",2493,0.000156433320297223,2,7.82166601486116e-05,"mammals",44,24,51,119
"963",2497,7.69526741054252e-05,1,7.69526741054252e-05,"mammals",66,72,52,190
"573",2458,0.000147475749138665,1.93333333333333,7.62805598993097e-05,"mammals",48,26,53,127
"933",2494,0.000111362019364618,1.5,7.42413462430785e-05,"mammals",55,45,54,154
"883",2489,0.000190227083581025,2.66666666666667,7.13351563428843e-05,"mammals",36,12,55,103
"393",2440,7.09219858156028e-05,1,7.09219858156028e-05,"mammals",67,73,56,196
"615",2406,6.76361176868448e-05,1,6.76361176868448e-05,"mammals",68,74,57,199
"893",2490,6.70465973851827e-05,1,6.70465973851827e-05,"mammals",69,75,58,202
"473",2448,6.6711140760507e-05,1,6.6711140760507e-05,"mammals",70,76,59,205
"714",2472,8.45844787481497e-05,1.33333333333333,6.34383590611123e-05,"mammals",61,54,60,175
"843",2485,6.1652281134402e-05,1,6.1652281134402e-05,"mammals",73,77,61,211
"533",2454,0.000146591741998534,2.4,6.10798924993892e-05,"mammals",49,18,62,129
"273",2428,6.00600600600601e-05,1,6.00600600600601e-05,"mammals",74,78,63,215
"383",2439,8.9126559714795e-05,1.5,5.941770647653e-05,"mammals",59,46,64,169
"503",2451,5.64971751412429e-05,1,5.64971751412429e-05,"mammals",75,79,65,219
"715",2407,5.53097345132743e-05,1,5.53097345132743e-05,"mammals",76,80,66,222
"913",2409,5.49450549450549e-05,1,5.49450549450549e-05,"mammals",77,81,67,225
"263",2427,5.3248136315229e-05,1,5.3248136315229e-05,"mammals",78,82,68,228
"483",2449,6.25814863102999e-05,1.2,5.21512385919166e-05,"mammals",72,60,69,201
"133",2413,5.02008032128514e-05,1,5.02008032128514e-05,"mammals",80,83,70,233
"693",2470,8.28500414250207e-05,1.66666666666667,4.97100248550124e-05,"mammals",62,38,71,171
"515",2452,0.000122339124051872,2.5,4.89356496207487e-05,"mammals",51,15,72,138
"863",2487,4.8661800486618e-05,1,4.8661800486618e-05,"mammals",81,84,73,238
"603",2461,6.48561005269558e-05,1.33333333333333,4.86420753952169e-05,"mammals",71,55,74,200
"303",2431,0.000120235661897319,2.5,4.80942647589275e-05,"mammals",52,16,75,143
"683",2469,4.78812544888676e-05,1,4.78812544888676e-05,"mammals",83,85,76,244
"815",2408,4.69043151969981e-05,1,4.69043151969981e-05,"mammals",84,86,77,247
"423",2443,5.3242820538418e-05,1.14285714285714,4.65874679711158e-05,"mammals",79,63,78,220
"493",2450,4.5382346267302e-05,1,4.5382346267302e-05,"mammals",85,87,79,251
"183",2418,4.49236298292902e-05,1,4.49236298292902e-05,"mammals",86,88,80,254
"553",2456,0.000187124081087102,4.2,4.45533526397861e-05,"mammals",38,4,81,123
"315",2432,4.40528634361234e-05,1,4.40528634361234e-05,"mammals",87,89,82,258
"873",2488,4.20786871449611e-05,1,4.20786871449611e-05,"mammals",88,90,83,261
"914",2492,4.0983606557377e-05,1,4.0983606557377e-05,"mammals",89,91,84,264
"523",2453,8.05315079524864e-05,2,4.02657539762432e-05,"mammals",63,25,85,173
"243",2425,8.83424743254684e-05,2.4,3.68093643022785e-05,"mammals",60,19,86,165
"723",2473,0.000158850977926333,4.8,3.30939537346527e-05,"mammals",43,3,87,133
"193",2419,2.92098729370527e-05,1,2.92098729370527e-05,"mammals",92,92,88,272
"253",2426,2.89561314608368e-05,1,2.89561314608368e-05,"mammals",93,93,89,275
"543",2455,0.000230680507497116,8,2.88350634371396e-05,"mammals",31,1,90,122
"363",2437,4.84395543560999e-05,1.75,2.76797453463428e-05,"mammals",82,31,91,204
"583",2459,2.72479564032698e-05,1,2.72479564032698e-05,"mammals",94,94,92,280
"643",2465,3.81946654783882e-05,1.5,2.54631103189255e-05,"mammals",90,47,93,230
"593",2460,3.37097589752233e-05,1.33333333333333,2.52823192314175e-05,"mammals",91,56,94,241
"853",2486,2.50093785169439e-05,1,2.50093785169439e-05,"mammals",95,95,95,285
"333",2434,2.08073241781107e-05,1,2.08073241781107e-05,"mammals",96,96,96,288
"283",2429,2.00380723374411e-05,1,2.00380723374411e-05,"mammals",97,97,97,291
"633",2464,6.78035054412313e-06,1,6.78035054412313e-06,"mammals",98,98,98,294
"816",2482,0.0327733824645063,11.1176470588235,0.00294787038040533,"plants",1,14,1,16
"944",2495,0.00850492390331244,3.06451612903226,0.00277529095792301,"plants",13,65,2,80
"834",2484,0.013937035726919,7.88,0.00176865935620799,"plants",6,29,3,38
"204",2420,0.00763941940412529,5,0.00152788388082506,"plants",15,45,4,64
"794",2480,0.0253578732106339,17.4375,0.00145421495114747,"plants",3,6,5,14
"294",2430,0.02875665663348,23,0.00125028941884696,"plants",2,2,6,10
"774",2478,0.00921648550724638,7.53703703703704,0.00122282608695652,"plants",10,32,7,49
"216",2421,0.00678298372868065,5.58064516129032,0.00121544795138208,"plants",16,44,8,68
"416",2404,0.00341588385994876,2.85714285714286,0.00119555935098207,"plants",24,70,9,103
"316",2403,0.00450913242009132,3.95,0.00114155251141553,"plants",20,56,10,86
"616",2462,0.0120275975697662,11.0188679245283,0.00109154566985892,"plants",8,15,11,34
"824",2483,0.00820969337289812,7.90476190476191,0.00103857566765579,"plants",14,27,12,53
"164",2416,0.00985259891388673,9.76923076923077,0.00100853374709077,"plants",9,18,13,40
"404",2441,0.0192014770366951,19.8095238095238,0.000969305331179321,"plants",5,4,14,23
"116",2401,0.00278884462151394,3.18181818181818,0.000876494023904383,"plants",26,62,15,103
"444",2445,0.0193006405544471,22.4146341463415,0.000861073191221254,"plants",4,3,16,23
"915",2409,0.00247252747252747,3,0.000824175824175824,"plants",31,66,17,114
"764",2477,0.00920754716981132,11.4375,0.000805031446540881,"plants",11,13,18,42
"117",2411,0.0011454753722795,1.42857142857143,0.000801832760595647,"plants",54,87,19,160
"217",2402,0.00123387549074593,1.57142857142857,0.000785193494111049,"plants",53,84,20,157
"974",2498,0.00511486779367143,6.55555555555556,0.000780234070221066,"plants",19,34,21,74
"434",2444,0.00318145052574818,4.21428571428571,0.000754920463736856,"plants",25,50,22,97
"754",2476,0.0126711238459089,17.304347826087,0.000732250875517351,"plants",7,7,23,37
"454",2446,0.00627414903403864,8.74358974358974,0.000717571297148114,"plants",18,23,24,65
"224",2422,0.0025693590269236,3.91666666666667,0.000656006560065601,"plants",29,57,25,111
"144",2414,0.00258852258852259,4.07692307692308,0.000634920634920635,"plants",28,53,26,107
"174",2417,0.00171792740371294,2.81818181818182,0.000609587143252979,"plants",39,71,27,137
"684",2469,0.00670337562844146,11.6666666666667,0.000574575053866411,"plants",17,11,28,56
"394",2440,0.00347517730496454,6.125,0.000567375886524823,"plants",23,38,29,90
"417",2442,0.00144653004993973,2.625,0.000551059066643706,"plants",46,75,30,151
"154",2415,0.00151562993369119,3,0.000505209977897064,"plants",45,67,31,143
"344",2435,0.00158290462999604,3.33333333333333,0.000474871388998813,"plants",43,59,32,134
"894",2490,0.00127388535031847,2.71428571428571,0.000469326181696279,"plants",51,74,33,158
"784",2479,0.00137789504544122,2.9375,0.000469070653767224,"plants",48,69,34,151
"804",2481,0.00444452936905262,10.3839285714286,0.000428020025222609,"plants",21,17,35,73
"817",2408,0.000844277673545966,2,0.000422138836772983,"plants",64,81,36,181
"354",2436,0.00106172582491933,2.55,0.000416363068595816,"plants",56,76,37,169
"984",2499,0.0022410945977825,5.58823529411765,0.000401037980655815,"plants",34,43,38,115
"104",2410,0.00162233540841351,4.09523809523809,0.000396151669496321,"plants",42,51,39,132
"184",2418,0.000763701707097933,2.125,0.000359389038634322,"plants",70,79,40,189
"374",2438,0.000871348026652998,2.42857142857143,0.000358790363915941,"plants",62,78,41,181
"504",2451,0.00104519774011299,3.08333333333333,0.000338983050847458,"plants",57,64,42,163
"617",2406,0.00108217788298952,3.2,0.000338180588434224,"plants",55,61,43,159
"734",2474,0.00853365384615385,25.3571428571429,0.000336538461538462,"plants",12,1,44,57
"334",2434,0.00124843945068664,4,0.00031210986267166,"plants",52,54,45,151
"716",2472,0.00100444068513428,3.27586206896552,0.000306618735462043,"plants",59,60,46,165
"124",2412,0.000855614973262032,2.8,0.000305576776165011,"plants",63,72,47,182
"916",2492,0.00225409836065574,7.85714285714286,0.000286885245901639,"plants",33,30,48,111
"704",2471,0.00256019727299101,9.05128205128205,0.000282854656222802,"plants",30,20,49,99
"324",2433,0.00183169172282703,6.625,0.000276481769483325,"plants",37,33,50,120
"744",2475,0.00231178033658104,8.41935483870968,0.000274579273693534,"plants",32,24,51,107
"674",2468,0.00167935950009764,6.14285714285714,0.000273384104667057,"plants",40,37,52,129
"304",2431,0.00399182397499098,15.0909090909091,0.000264518456174101,"plants",22,10,53,85
"564",2457,0.00199468664256783,7.89655172413793,0.000252602238578459,"plants",36,28,54,118
"134",2413,0.00261044176706827,10.4,0.000251004016064257,"plants",27,16,55,98
"954",2496,0.000319539862597859,1.42857142857143,0.000223677903818501,"plants",80,88,56,224
"317",2432,0.00066079295154185,3,0.000220264317180617,"plants",71,68,57,196
"194",2419,0.000817876442237476,4,0.000204469110559369,"plants",66,55,58,179
"904",2491,0.000258564964447317,1.33333333333333,0.000193923723335488,"plants",82,89,59,230
"554",2456,0.0014167966139452,7.57142857142857,0.000187124081087102,"plants",47,31,60,138
"964",2497,0.000230858022316276,1.28571428571429,0.000179556239579325,"plants",84,90,61,235
"544",2455,0.000201845444059977,1.16666666666667,0.000173010380622837,"plants",86,92,62,240
"516",2452,0.000220210423293369,1.28571428571429,0.000171274773672621,"plants",85,91,63,239
"464",2447,0.00133855893880012,7.92857142857143,0.000168827253542358,"plants",49,26,64,139
"234",2423,0.0015520919702997,9.25555555555556,0.000167693009996367,"plants",44,19,65,128
"654",2466,0.000802385470317159,4.96644295302013,0.00016156139875305,"plants",69,46,66,181
"584",2459,0.000367847411444142,2.45454545454545,0.000149863760217984,"plants",79,77,67,223
"884",2489,0.00164070859588634,11.5,0.000142670312685769,"plants",41,12,68,121
"244",2425,0.000817167887510583,5.84210526315789,0.000139875584348658,"plants",67,41,69,177
"424",2443,0.000831919070912782,5.95238095238095,0.000139762403913347,"plants",65,39,70,174
"924",2493,0.000879937426671881,6.42857142857143,0.00013687915526007,"plants",61,36,71,168
"934",2494,0.000587743991091039,4.31818181818182,0.000136109134778977,"plants",73,49,72,194
"474",2448,0.000466977985323549,3.5,0.000133422281521014,"plants",75,58,73,206
"664",2467,0.00080331288725597,6.45,0.000124544633683096,"plants",68,35,74,177
"274",2428,0.00012012012012012,1,0.00012012012012012,"plants",93,93,75,261
"384",2439,0.000371360665478313,3.125,0.00011883541295306,"plants",78,63,76,217
"254",2426,0.000173736788765021,1.5,0.000115824525843347,"plants",90,85,77,252
"574",2458,0.00102470218798073,8.95555555555556,0.000114420839848964,"plants",58,21,78,157
"517",2405,0.000113992590481619,1,0.000113992590481619,"plants",94,94,79,267
"724",2473,0.00210477545752391,18.7058823529412,0.000112519442697819,"plants",35,5,80,120
"717",2407,0.000165929203539823,1.5,0.000110619469026549,"plants",91,86,81,258
"534",2454,0.00177131688248229,16.1111111111111,0.000109943806498901,"plants",38,8,82,128
"624",2463,0.000921852084642782,8.8,0.000104755918709407,"plants",60,22,83,165
"524",2453,0.000181195892893094,1.8,0.000100664384940608,"plants",88,83,84,255
"484",2449,0.000531942633637549,5.66666666666667,9.38722294654498e-05,"plants",74,42,85,201
"494",2450,0.000408441116405718,4.5,9.0764692534604e-05,"plants",77,47,86,210
"634",2464,0.000183069464691325,2.07692307692308,8.81445570736007e-05,"plants",87,80,87,254
"694",2470,0.000231980115990058,2.8,8.28500414250207e-05,"plants",83,73,88,244
"604",2461,0.00129712201053912,16,8.10701256586948e-05,"plants",50,9,89,148
"364",2437,0.000311397135146357,4.09090909090909,7.61192997024427e-05,"plants",81,52,90,223
"594",2460,0.00060677566155402,8,7.58469576942525e-05,"plants",72,25,91,188
"644",2465,0.000435419186453625,5.89655172413793,7.38430199248838e-05,"plants",76,40,92,208
"844",2485,0.000123304562268804,2,6.1652281134402e-05,"plants",92,82,93,267
"264",2427,5.3248136315229e-05,1,5.3248136315229e-05,"plants",95,95,94,284
"864",2487,4.8661800486618e-05,1,4.8661800486618e-05,"plants",96,96,95,287
"874",2488,4.20786871449611e-05,1,4.20786871449611e-05,"plants",97,97,96,290
"284",2429,0.00018034265103697,4.5,4.00761446748823e-05,"plants",89,48,97,234
"854",2486,2.50093785169439e-05,1,2.50093785169439e-05,"plants",98,98,98,294
