"CDUID","obs_totalpop","mean_obs_per_observer","observer_totalpop"
"2401",0.000159362549800797,2,7.96812749003984e-05
"2402",0.00168255748738082,2.30769230769231,0.000729108244531688
"2403",0.00142694063926941,6.25,0.000228310502283105
"2404",0.000683176771989752,1.14285714285714,0.000597779675491033
"2405",0.000455970361926475,2.66666666666667,0.000170988885722428
"2406",0.00013527223537369,1,0.00013527223537369
"2407",0.000110619469026549,2,5.53097345132743e-05
"2408",4.69043151969981e-05,1,4.69043151969981e-05
"2409",0.00021978021978022,1.33333333333333,0.000164835164835165
"2410",0.0003584229390681,2.11111111111111,0.000169779286926995
"2411",0.000343642611683849,1.5,0.000229095074455899
"2412",0.000458365164247517,2.5,0.000183346065699007
"2413",0.000200803212851406,1.33333333333333,0.000150602409638554
"2414",0.00273504273504274,11.2,0.000244200244200244
"2415",0.000757814966845595,1.5,0.000505209977897064
"2416",0.00162916989914663,3.5,0.000465477114041893
"2417",0.000554170130229981,2.5,0.000221668052091992
"2418",4.49236298292902e-05,1,4.49236298292902e-05
"2419",0.00032130860230758,2.75,0.000116839491748211
"2420",0.00519480519480519,8.5,0.000611153552330023
"2421",0.00372475985100961,6.33333333333333,0.000588119976475201
"2422",0.0010660106601066,4.875,0.0002186688533552
"2423",0.00106019247431036,21.8846153846154,4.84446473322837e-05
"2425",0.000132513711488203,2.57142857142857,5.15331100231899e-05
"2426",0.000723903286520921,25,2.89561314608368e-05
"2427",0.000159744408945687,3,5.3248136315229e-05
"2428",6.00600600600601e-05,1,6.00600600600601e-05
"2429",2.00380723374411e-05,1,2.00380723374411e-05
"2430",0.000879833294744154,3.8,0.000231535077564251
"2431",0.000408801250450884,17,2.40471323794638e-05
"2432",0.000616740088105727,14,4.40528634361234e-05
"2433",0.000933125972006221,13.5,6.91204423708312e-05
"2434",0.000998751560549313,12,8.32292967124428e-05
"2435",0.000158290462999604,2,7.91452314998021e-05
"2436",0.000291454148017071,2,0.000145727074008535
"2437",0.000110718981385371,3.2,3.45996816829285e-05
"2438",0.000102511532547412,1,0.000102511532547412
"2439",0.000103980986333928,1.75,5.941770647653e-05
"2440",7.09219858156028e-05,1,7.09219858156028e-05
"2441",0.000969305331179321,3.5,0.000276944380336949
"2442",0.000103323574995695,1.5,6.88823833304632e-05
"2443",7.9864230807627e-05,1.71428571428571,4.65874679711158e-05
"2444",0.00032353734160151,1.2,0.000269614451334592
"2445",0.000840071406069516,2.35294117647059,0.000357030347579544
"2446",0.0027966881324747,7.23809523809524,0.000386384544618215
"2447",0.000928549894482967,15.4,6.02954476936991e-05
"2448",6.6711140760507e-05,1,6.6711140760507e-05
"2449",0.00015645371577575,5,3.12907431551499e-05
"2450",0.000589970501474926,2.16666666666667,0.000272294077603812
"2451",0.000169491525423729,1,0.000169491525423729
